
# Surface 0 of 1 surfaces

# Curve title: ""afm.dat" u 1:2:3"

# IsoCurve 0, 270 points
# x y z type
8.4000000e+01 8.0000000e+00 2.3053521e+03 i
8.6000000e+01 8.0000000e+00 2.1861382e+03 i
8.8000000e+01 8.0000000e+00 2.0835910e+03 i
0.0000000e+00 1.0000000e+01 1.9979710e+03 i
2.0000000e+00 1.0000000e+01 1.6255380e+03 i
4.0000000e+00 1.0000000e+01 1.1031050e+03 i
6.0000000e+00 1.0000000e+01 1.0640053e+03 i
8.0000000e+00 1.0000000e+01 1.0582389e+03 i
1.0000000e+01 1.0000000e+01 1.1524726e+03 i
1.2000000e+01 1.0000000e+01 1.1300395e+03 i
1.4000000e+01 1.0000000e+01 8.4093984e+02 i
1.6000000e+01 1.0000000e+01 7.0184015e+02 i
1.8000000e+01 1.0000000e+01 6.1274045e+02 i
2.0000000e+01 1.0000000e+01 8.4030743e+02 i
2.2000000e+01 1.0000000e+01 1.3845411e+03 i
2.4000000e+01 1.0000000e+01 3.0621080e+03 i
2.6000000e+01 1.0000000e+01 3.4063417e+03 i
2.8000000e+01 1.0000000e+01 3.6339087e+03 i
3.0000000e+01 1.0000000e+01 3.5614756e+03 i
3.2000000e+01 1.0000000e+01 3.5223759e+03 i
3.4000000e+01 1.0000000e+01 3.5166096e+03 i
3.6000000e+01 1.0000000e+01 3.5775099e+03 i
3.8000000e+01 1.0000000e+01 3.6384102e+03 i
4.0000000e+01 1.0000000e+01 3.5659772e+03 i
4.2000000e+01 1.0000000e+01 3.5935441e+03 i
4.4000000e+01 1.0000000e+01 3.5044444e+03 i
4.6000000e+01 1.0000000e+01 3.5153447e+03 i
4.8000000e+01 1.0000000e+01 3.3095784e+03 i
5.0000000e+01 1.0000000e+01 3.3538120e+03 i
5.2000000e+01 1.0000000e+01 2.8147123e+03 i
5.4000000e+01 1.0000000e+01 2.0089460e+03 i
5.6000000e+01 1.0000000e+01 1.0198463e+03 i
5.8000000e+01 1.0000000e+01 6.4741326e+02 i
6.0000000e+01 1.0000000e+01 7.0831356e+02 i
6.2000000e+01 1.0000000e+01 3.5254720e+02 i
6.4000000e+01 1.0000000e+01 -3.2191552e+00 i
6.6000000e+01 1.0000000e+01 7.6811517e+00 i
6.8000000e+01 1.0000000e+01 -1.9808521e+02 i
7.0000000e+01 1.0000000e+01 -2.3718490e+02 i
7.2000000e+01 1.0000000e+01 2.5737154e+03 i
7.4000000e+01 1.0000000e+01 2.4679490e+03 i
7.6000000e+01 1.0000000e+01 2.4955160e+03 i
7.8000000e+01 1.0000000e+01 2.3064163e+03 i
8.0000000e+01 1.0000000e+01 2.2006500e+03 i
8.2000000e+01 1.0000000e+01 2.2115503e+03 i
8.4000000e+01 1.0000000e+01 2.1557839e+03 i
8.6000000e+01 1.0000000e+01 2.0333509e+03 i
8.8000000e+01 1.0000000e+01 2.1609179e+03 i

